,,,,,,,,,,,,,,,,,Taxa de analfabetismo da população de 15 anos ou mais de idade,,,,,,,,,,,,,
,Taxa de Frequência Escolar Bruta,,,,,,,,,Nível de instrução das pessoas de 25 anos ou mais de idade,,,,,,,,Situação do domicílio,,Sexo,,Cor ou raça (1),,Grupos de idade,,,,,,
Ano,Total,0 a 3 anos,4 a 5 anos,6 a 10 anos,11 a 14 anos,6 a 14 anos,15 a 17 anos,18 a 24 anos,25 anos ou mais,Sem instrução,Ensino fundamental incompleto,Ensino fundamental completo,Ensino médio incompleto,Ensino médio completo,Ensino superior incompleto,Ensino superior completo,Geral,Urbana,Rural,Homem ,Mulher,Branca,Preta ou parda,15 a 19 anos,20 a 24 anos,25 a 34 anos,35 a 44 anos,45 a 54 anos,55 a 64 anos,65 anos ou mais
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,"   27,5 ","   30,4 ","   90,2 ","   99,5 ","   98,9 ","   99,2 ","   87,2 ","   32,8 ","   4,2 "," 7,8 "," 34,1 "," 9,1 "," 3,9 "," 26,3 "," 3,4 "," 15,3 ","7,2 ","5,4 ","18,3 ","7,4 ","7,0 ","4,2 ","9,9 ","0,7 ","1,1 ","2,1 ","4,8 ","7,9 ","11,9 ","23,5 "
2017,"   27,3 ","   32,7 ","   91,7 ","   99,3 ","   99,1 ","   99,2 ","   87,2 ","   31,7 ","   4,3 "," 7,2 "," 33,8 "," 8,5 "," 4,4 "," 26,8 "," 3,6 "," 15,7 ","7,0 ","5,2 ","17,7 ","7,1 ","6,8 ","4,0 ","9,3 ","0,6 ","1,1 ","1,9 ","4,6 ","7,7 ","11,4 ","22,3 "
2018,"27,1","   34,2 ","   92,4 ","   99,6 ","   99,1 ","   99,3 ","   88,2 ","   32,7 ","   4,6 ",,,,,,,,,,,,,,,,,,,,,
2019,"26,9","35,6","92,9","99,8","99,5","99,7","89,2","32,4","4,5",,,,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
